ResponseId,C1_1,C1_2,C1_3,C1_4,C2_1,C2_2,C2_3,C2_4,C3_1,C3_2,C3_3,C3_4,C4_1,C4_2,C4_3,C4_4,C5_1,C5_2,C5_3,C5_4,vers_MAXDIFF,1.1_MAXDIFF,1.2_MAXDIFF,1.3_MAXDIFF,1.4_MAXDIFF,2.1_MAXDIFF,2.2_MAXDIFF,2.3_MAXDIFF,2.4_MAXDIFF,3.1_MAXDIFF,3.2_MAXDIFF,3.3_MAXDIFF,3.4_MAXDIFF,4.1_MAXDIFF,4.2_MAXDIFF,4.3_MAXDIFF,4.4_MAXDIFF,5.1_MAXDIFF,5.2_MAXDIFF,5.3_MAXDIFF,5.4_MAXDIFF
Response ID,(1/5) Choose your most and least important features from the choices below: - [Field-1.1_MAXDIFF],(1/5) Choose your most and least important features from the choices below: - [Field-1.2_MAXDIFF],(1/5) Choose your most and least important features from the choices below: - [Field-1.3_MAXDIFF],(1/5) Choose your most and least important features from the choices below: - [Field-1.4_MAXDIFF],(2/5) Choose your most and least important features from the choices below: - [Field-2.1_MAXDIFF],(2/5) Choose your most and least important features from the choices below: - [Field-2.2_MAXDIFF],(2/5) Choose your most and least important features from the choices below: - [Field-2.3_MAXDIFF],(2/5) Choose your most and least important features from the choices below: - [Field-2.4_MAXDIFF],(3/5) Choose your most and least important features from the choices below: - [Field-3.1_MAXDIFF],(3/5) Choose your most and least important features from the choices below: - [Field-3.2_MAXDIFF],(3/5) Choose your most and least important features from the choices below: - [Field-3.3_MAXDIFF],(3/5) Choose your most and least important features from the choices below: - [Field-3.4_MAXDIFF],(4/5) Choose your most and least important features from the choices below: - [Field-4.1_MAXDIFF],(4/5) Choose your most and least important features from the choices below: - [Field-4.2_MAXDIFF],(4/5) Choose your most and least important features from the choices below: - [Field-4.3_MAXDIFF],(4/5) Choose your most and least important features from the choices below: - [Field-4.4_MAXDIFF],(5/5) Choose your most and least important features from the choices below: - [Field-5.1_MAXDIFF],(5/5) Choose your most and least important features from the choices below: - [Field-5.2_MAXDIFF],(5/5) Choose your most and least important features from the choices below: - [Field-5.3_MAXDIFF],(5/5) Choose your most and least important features from the choices below: - [Field-5.4_MAXDIFF],vers_MAXDIFF,1.1_MAXDIFF,1.2_MAXDIFF,1.3_MAXDIFF,1.4_MAXDIFF,2.1_MAXDIFF,2.2_MAXDIFF,2.3_MAXDIFF,2.4_MAXDIFF,3.1_MAXDIFF,3.2_MAXDIFF,3.3_MAXDIFF,3.4_MAXDIFF,4.1_MAXDIFF,4.2_MAXDIFF,4.3_MAXDIFF,4.4_MAXDIFF,5.1_MAXDIFF,5.2_MAXDIFF,5.3_MAXDIFF,5.4_MAXDIFF
"{""ImportId"":""_recordId""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID1_2""}","{""ImportId"":""QID1_3""}","{""ImportId"":""QID1_4""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID2_2""}","{""ImportId"":""QID2_3""}","{""ImportId"":""QID2_4""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID3_2""}","{""ImportId"":""QID3_3""}","{""ImportId"":""QID3_4""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID4_2""}","{""ImportId"":""QID4_3""}","{""ImportId"":""QID4_4""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID5_2""}","{""ImportId"":""QID5_3""}","{""ImportId"":""QID5_4""}","{""ImportId"":""vers_MAXDIFF""}","{""ImportId"":""1.1_MAXDIFF""}","{""ImportId"":""1.2_MAXDIFF""}","{""ImportId"":""1.3_MAXDIFF""}","{""ImportId"":""1.4_MAXDIFF""}","{""ImportId"":""2.1_MAXDIFF""}","{""ImportId"":""2.2_MAXDIFF""}","{""ImportId"":""2.3_MAXDIFF""}","{""ImportId"":""2.4_MAXDIFF""}","{""ImportId"":""3.1_MAXDIFF""}","{""ImportId"":""3.2_MAXDIFF""}","{""ImportId"":""3.3_MAXDIFF""}","{""ImportId"":""3.4_MAXDIFF""}","{""ImportId"":""4.1_MAXDIFF""}","{""ImportId"":""4.2_MAXDIFF""}","{""ImportId"":""4.3_MAXDIFF""}","{""ImportId"":""4.4_MAXDIFF""}","{""ImportId"":""5.1_MAXDIFF""}","{""ImportId"":""5.2_MAXDIFF""}","{""ImportId"":""5.3_MAXDIFF""}","{""ImportId"":""5.4_MAXDIFF""}"
R_1mIbwxfk1jK55xK,,,Most Important,Least Important,,,Least Important,Most Important,Least Important,,Most Important,,Most Important,Least Important,,,,Most Important,,Least Important,1,Feature 4,Feature 2,Feature 1,Feature 5,Feature 5,Feature 3,Feature 6,Feature 1,Feature 6,Feature 5,Feature 2,Feature 3,Feature 1,Feature 5,Feature 3,Feature 4,Feature 2,Feature 1,Feature 4,Feature 6
R_3aQzWMbhXecYeop,,,Most Important,Least Important,,,Least Important,Most Important,Least Important,,Most Important,,Most Important,Least Important,,,,Most Important,,Least Important,1,Feature 4,Feature 2,Feature 1,Feature 5,Feature 5,Feature 3,Feature 6,Feature 1,Feature 6,Feature 5,Feature 2,Feature 3,Feature 1,Feature 5,Feature 3,Feature 4,Feature 2,Feature 1,Feature 4,Feature 6
R_wUkYZbn7wIGwKFX,Most Important,Least Important,,,,,Most Important,Least Important,,Least Important,,Most Important,Most Important,,Least Important,,,Most Important,Least Important,,2,Feature 1,Feature 5,Feature 3,Feature 4,Feature 4,Feature 2,Feature 1,Feature 6,Feature 5,Feature 6,Feature 4,Feature 1,Feature 2,Feature 4,Feature 6,Feature 3,Feature 3,Feature 1,Feature 5,Feature 2
R_AuhZ3xvTBgeh2i5,Most Important,Least Important,,,,Least Important,Most Important,,,Most Important,,Least Important,Least Important,,Most Important,,Most Important,,Least Important,,4,Feature 1,Feature 6,Feature 5,Feature 2,Feature 4,Feature 5,Feature 2,Feature 3,Feature 3,Feature 1,Feature 4,Feature 6,Feature 5,Feature 3,Feature 1,Feature 4,Feature 2,Feature 4,Feature 6,Feature 5
R_RDI09WccdgL5KYV,,Most Important,,Least Important,,,Least Important,Most Important,Least Important,,Most Important,,Least Important,,Most Important,,Most Important,Least Important,,,5,Feature 5,Feature 1,Feature 3,Feature 6,Feature 4,Feature 2,Feature 5,Feature 1,Feature 6,Feature 3,Feature 2,Feature 4,Feature 5,Feature 3,Feature 1,Feature 2,Feature 1,Feature 6,Feature 4,Feature 5
R_1mhfiYTnMcrSXRv,,Least Important,Most Important,,Most Important,,,Least Important,,Least Important,,Most Important,Least Important,Most Important,,,,Most Important,Least Important,,6,Feature 2,Feature 4,Feature 1,Feature 3,Feature 1,Feature 5,Feature 2,Feature 6,Feature 5,Feature 6,Feature 4,Feature 1,Feature 6,Feature 2,Feature 3,Feature 5,Feature 3,Feature 1,Feature 6,Feature 4
R_3jcZsfmk0Edkx23,Least Important,,,Most Important,,Least Important,Most Important,,,Most Important,Least Important,,,,Least Important,Most Important,,,Most Important,Least Important,7,Feature 6,Feature 3,Feature 2,Feature 1,Feature 4,Feature 6,Feature 3,Feature 5,Feature 2,Feature 1,Feature 4,Feature 3,Feature 3,Feature 4,Feature 5,Feature 2,Feature 5,Feature 2,Feature 1,Feature 6
R_1CrtgMzsBS20f6c,,Least Important,Most Important,,,Least Important,,Most Important,,Most Important,Least Important,,Most Important,,Least Important,,Least Important,,,Most Important,8,Feature 2,Feature 5,Feature 1,Feature 4,Feature 3,Feature 6,Feature 5,Feature 2,Feature 4,Feature 3,Feature 6,Feature 5,Feature 1,Feature 2,Feature 6,Feature 3,Feature 6,Feature 4,Feature 3,Feature 1
R_1N3zNnvwe0BnNW9,Least Important,Most Important,,,Least Important,Most Important,,,,Most Important,Least Important,,,,Most Important,Least Important,Most Important,,Least Important,,9,Feature 6,Feature 1,Feature 4,Feature 5,Feature 5,Feature 2,Feature 3,Feature 4,Feature 4,Feature 2,Feature 6,Feature 3,Feature 2,Feature 4,Feature 1,Feature 6,Feature 1,Feature 3,Feature 5,Feature 2
R_1kFF9e37lWPmjz2,Least Important,,,Most Important,Most Important,,,Least Important,Most Important,Least Important,,,,Least Important,,Most Important,,Most Important,,Least Important,10,Feature 6,Feature 2,Feature 3,Feature 1,Feature 3,Feature 4,Feature 5,Feature 6,Feature 1,Feature 5,Feature 4,Feature 3,Feature 4,Feature 6,Feature 5,Feature 2,Feature 3,Feature 1,Feature 2,Feature 5
R_1DvAXIIbrrHGxFL,,Most Important,Least Important,,Most Important,,Least Important,,,Most Important,,Least Important,Least Important,,,Most Important,Most Important,Least Important,,,11,Feature 5,Feature 3,Feature 6,Feature 4,Feature 1,Feature 4,Feature 5,Feature 2,Feature 3,Feature 1,Feature 2,Feature 6,Feature 6,Feature 5,Feature 3,Feature 1,Feature 2,Feature 6,Feature 4,Feature 3
R_AjU23PcWFgx8FMJ,Most Important,,,Least Important,Least Important,Most Important,,,Least Important,,Most Important,,,Least Important,,Most Important,,Most Important,,Least Important,12,Feature 1,Feature 3,Feature 5,Feature 6,Feature 5,Feature 1,Feature 2,Feature 4,Feature 6,Feature 5,Feature 1,Feature 3,Feature 4,Feature 6,Feature 3,Feature 2,Feature 3,Feature 2,Feature 4,Feature 5
R_2xQaopjTIIgx0eW,,Least Important,Most Important,,,Most Important,Least Important,,Least Important,Most Important,,,Most Important,Least Important,,,Least Important,,,Most Important,13,Feature 3,Feature 5,Feature 1,Feature 4,Feature 4,Feature 3,Feature 6,Feature 5,Feature 6,Feature 2,Feature 5,Feature 3,Feature 1,Feature 6,Feature 4,Feature 2,Feature 5,Feature 4,Feature 2,Feature 1
R_2wiVOtWDBcIzBch,Least Important,,Most Important,,,Least Important,,Most Important,,Least Important,,Most Important,,Most Important,Least Important,,Least Important,,Most Important,,14,Feature 6,Feature 3,Feature 2,Feature 4,Feature 3,Feature 6,Feature 5,Feature 2,Feature 4,Feature 5,Feature 3,Feature 1,Feature 2,Feature 1,Feature 6,Feature 5,Feature 5,Feature 4,Feature 1,Feature 3
R_4MjLmw2rsunHHgt,,,Least Important,Most Important,Most Important,,Least Important,,,Least Important,Most Important,,Most Important,,,Least Important,Least Important,,Most Important,,15,Feature 4,Feature 2,Feature 5,Feature 1,Feature 1,Feature 3,Feature 6,Feature 2,Feature 5,Feature 6,Feature 1,Feature 3,Feature 2,Feature 4,Feature 3,Feature 6,Feature 6,Feature 5,Feature 2,Feature 4
R_Zxckp7Nme622BFL,,,Least Important,Most Important,Least Important,Most Important,,,,Least Important,Most Important,,Most Important,,,Least Important,Least Important,,Most Important,,16,Feature 4,Feature 3,Feature 5,Feature 2,Feature 6,Feature 1,Feature 3,Feature 5,Feature 3,Feature 6,Feature 2,Feature 4,Feature 1,Feature 5,Feature 4,Feature 6,Feature 5,Feature 2,Feature 1,Feature 3
R_3nVqdCdD3R9tYC1,Most Important,,,Least Important,,,Least Important,Most Important,Least Important,Most Important,,,Least Important,,Most Important,,,Least Important,Most Important,,17,Feature 1,Feature 3,Feature 4,Feature 6,Feature 4,Feature 2,Feature 6,Feature 1,Feature 5,Feature 1,Feature 3,Feature 2,Feature 6,Feature 4,Feature 1,Feature 5,Feature 3,Feature 5,Feature 2,Feature 4
R_3PXFxqeNlqwXJNi,Least Important,Most Important,,,Most Important,,,Least Important,Least Important,,Most Important,,,,Least Important,Most Important,Most Important,,Least Important,,18,Feature 6,Feature 1,Feature 2,Feature 4,Feature 2,Feature 5,Feature 3,Feature 6,Feature 5,Feature 4,Feature 1,Feature 2,Feature 3,Feature 2,Feature 4,Feature 1,Feature 1,Feature 3,Feature 6,Feature 5
R_1ezxWWSzmcra2OT,,Most Important,Least Important,,Most Important,,Least Important,,,Most Important,,Least Important,,Least Important,Most Important,,Most Important,Least Important,,,19,Feature 3,Feature 2,Feature 5,Feature 4,Feature 2,Feature 3,Feature 6,Feature 5,Feature 5,Feature 1,Feature 2,Feature 6,Feature 4,Feature 5,Feature 1,Feature 2,Feature 1,Feature 6,Feature 4,Feature 3
R_By6uOMJ3w8zNuEN,,Least Important,Most Important,,,,Least Important,Most Important,Least Important,,,Most Important,Least Important,Most Important,,,,Most Important,Least Important,,20,Feature 4,Feature 6,Feature 1,Feature 5,Feature 3,Feature 5,Feature 6,Feature 2,Feature 6,Feature 3,Feature 5,Feature 1,Feature 5,Feature 2,Feature 3,Feature 4,Feature 2,Feature 1,Feature 4,Feature 3
R_2DZZbMXtgBZilyw,Least Important,Most Important,,,,,Most Important,Least Important,Most Important,,Least Important,,,Most Important,Least Important,,Least Important,,,Most Important,21,Feature 6,Feature 1,Feature 4,Feature 2,Feature 5,Feature 4,Feature 3,Feature 6,Feature 1,Feature 5,Feature 6,Feature 3,Feature 3,Feature 2,Feature 5,Feature 4,Feature 4,Feature 3,Feature 2,Feature 1
R_3sbMOwV3kPJfo8x,Most Important,,Least Important,,Least Important,,,Most Important,Most Important,Least Important,,,,Most Important,,Least Important,,Least Important,Most Important,,22,Feature 2,Feature 6,Feature 1,Feature 4,Feature 5,Feature 3,Feature 2,Feature 1,Feature 3,Feature 4,Feature 6,Feature 5,Feature 1,Feature 5,Feature 4,Feature 2,Feature 4,Feature 2,Feature 3,Feature 6
R_1mIbwxfk1jK55xK1,Most Important,Least Important,,,,Most Important,,Least Important,,,Most Important,Least Important,,,Least Important,Most Important,Least Important,,Most Important,,1,Feature 4,Feature 2,Feature 1,Feature 5,Feature 5,Feature 3,Feature 6,Feature 1,Feature 6,Feature 5,Feature 2,Feature 3,Feature 1,Feature 5,Feature 3,Feature 4,Feature 2,Feature 1,Feature 4,Feature 6
R_3aQzWMbhXecYeop1,Most Important,Least Important,,,,Most Important,,Least Important,,,Most Important,Least Important,,,Least Important,Most Important,Least Important,,Most Important,,1,Feature 4,Feature 2,Feature 1,Feature 5,Feature 5,Feature 3,Feature 6,Feature 1,Feature 6,Feature 5,Feature 2,Feature 3,Feature 1,Feature 5,Feature 3,Feature 4,Feature 2,Feature 1,Feature 4,Feature 6
R_wUkYZbn7wIGwKFX1,Most Important,,Least Important,,,Most Important,Least Important,,Most Important,Least Important,,,,,Most Important,Least Important,,Least Important,,Most Important,2,Feature 1,Feature 5,Feature 3,Feature 4,Feature 4,Feature 2,Feature 1,Feature 6,Feature 5,Feature 6,Feature 4,Feature 1,Feature 2,Feature 4,Feature 6,Feature 3,Feature 3,Feature 1,Feature 5,Feature 2
R_AuhZ3xvTBgeh2i51,Least Important,,Most Important,,Most Important,,Least Important,,Most Important,Least Important,,,,Least Important,Most Important,,,Most Important,,Least Important,4,Feature 1,Feature 6,Feature 5,Feature 2,Feature 4,Feature 5,Feature 2,Feature 3,Feature 3,Feature 1,Feature 4,Feature 6,Feature 5,Feature 3,Feature 1,Feature 4,Feature 2,Feature 4,Feature 6,Feature 5
R_RDI09WccdgL5KYV1,Least Important,,Most Important,,Most Important,Least Important,,,,Most Important,,Least Important,,,Least Important,Most Important,Least Important,,Most Important,,5,Feature 5,Feature 1,Feature 3,Feature 6,Feature 4,Feature 2,Feature 5,Feature 1,Feature 6,Feature 3,Feature 2,Feature 4,Feature 5,Feature 3,Feature 1,Feature 2,Feature 1,Feature 6,Feature 4,Feature 5
R_1mhfiYTnMcrSXRv1,Least Important,Most Important,,,,Most Important,Least Important,,,Least Important,Most Important,,Most Important,,,Least Important,,Least Important,,Most Important,6,Feature 2,Feature 4,Feature 1,Feature 3,Feature 1,Feature 5,Feature 2,Feature 6,Feature 5,Feature 6,Feature 4,Feature 1,Feature 6,Feature 2,Feature 3,Feature 5,Feature 3,Feature 1,Feature 6,Feature 4
R_3jcZsfmk0Edkx231,,,Least Important,Most Important,,,Most Important,Least Important,Least Important,,,Most Important,,Least Important,Most Important,,,Most Important,Least Important,,7,Feature 6,Feature 3,Feature 2,Feature 1,Feature 4,Feature 6,Feature 3,Feature 5,Feature 2,Feature 1,Feature 4,Feature 3,Feature 3,Feature 4,Feature 5,Feature 2,Feature 5,Feature 2,Feature 1,Feature 6
R_1CrtgMzsBS20f6c1,Most Important,,Least Important,,Least Important,,,Most Important,,Least Important,Most Important,,,Least Important,,Most Important,,Most Important,Least Important,,8,Feature 2,Feature 5,Feature 1,Feature 4,Feature 3,Feature 6,Feature 5,Feature 2,Feature 4,Feature 3,Feature 6,Feature 5,Feature 1,Feature 2,Feature 6,Feature 3,Feature 6,Feature 4,Feature 3,Feature 1
R_1N3zNnvwe0BnNW91,,,Most Important,Least Important,Most Important,,Least Important,,Least Important,Most Important,,,Least Important,Most Important,,,,Most Important,Least Important,,9,Feature 6,Feature 1,Feature 4,Feature 5,Feature 5,Feature 2,Feature 3,Feature 4,Feature 4,Feature 2,Feature 6,Feature 3,Feature 2,Feature 4,Feature 1,Feature 6,Feature 1,Feature 3,Feature 5,Feature 2
R_1kFF9e37lWPmjz21,,Least Important,,Most Important,,Most Important,,Least Important,Least Important,,,Most Important,Most Important,,,Least Important,Most Important,Least Important,,,10,Feature 6,Feature 2,Feature 3,Feature 1,Feature 3,Feature 4,Feature 5,Feature 6,Feature 1,Feature 5,Feature 4,Feature 3,Feature 4,Feature 6,Feature 5,Feature 2,Feature 3,Feature 1,Feature 2,Feature 5
R_1DvAXIIbrrHGxFL1,Least Important,,,Most Important,Most Important,Least Important,,,,Most Important,Least Important,,Most Important,,Least Important,,,Most Important,,Least Important,11,Feature 5,Feature 3,Feature 6,Feature 4,Feature 1,Feature 4,Feature 5,Feature 2,Feature 3,Feature 1,Feature 2,Feature 6,Feature 6,Feature 5,Feature 3,Feature 1,Feature 2,Feature 6,Feature 4,Feature 3
R_AjU23PcWFgx8FMJ1,,Least Important,,Most Important,,Most Important,,Least Important,Most Important,,,Least Important,Least Important,Most Important,,,Least Important,,Most Important,,12,Feature 1,Feature 3,Feature 5,Feature 6,Feature 5,Feature 1,Feature 2,Feature 4,Feature 6,Feature 5,Feature 1,Feature 3,Feature 4,Feature 6,Feature 3,Feature 2,Feature 3,Feature 2,Feature 4,Feature 5
R_2xQaopjTIIgx0eW1,Most Important,Least Important,,,Least Important,,,Most Important,,Least Important,Most Important,,,Most Important,Least Important,,Least Important,Most Important,,,13,Feature 3,Feature 5,Feature 1,Feature 4,Feature 4,Feature 3,Feature 6,Feature 5,Feature 6,Feature 2,Feature 5,Feature 3,Feature 1,Feature 6,Feature 4,Feature 2,Feature 5,Feature 4,Feature 2,Feature 1
R_2wiVOtWDBcIzBch1,,Most Important,Least Important,,Least Important,,Most Important,,Least Important,,Most Important,,,Least Important,,Most Important,,Least Important,,Most Important,14,Feature 6,Feature 3,Feature 2,Feature 4,Feature 3,Feature 6,Feature 5,Feature 2,Feature 4,Feature 5,Feature 3,Feature 1,Feature 2,Feature 1,Feature 6,Feature 5,Feature 5,Feature 4,Feature 1,Feature 3
R_4MjLmw2rsunHHgt1,Most Important,,,Least Important,Least Important,,Most Important,,,,Least Important,Most Important,Most Important,,Least Important,,,Least Important,Most Important,,15,Feature 4,Feature 2,Feature 5,Feature 1,Feature 1,Feature 3,Feature 6,Feature 2,Feature 5,Feature 6,Feature 1,Feature 3,Feature 2,Feature 4,Feature 3,Feature 6,Feature 6,Feature 5,Feature 2,Feature 4
R_Zxckp7Nme622BFL1,Most Important,,,Least Important,Least Important,,Most Important,,,,Least Important,Most Important,Least Important,Most Important,,,,Least Important,Most Important,,16,Feature 4,Feature 3,Feature 5,Feature 2,Feature 6,Feature 1,Feature 3,Feature 5,Feature 3,Feature 6,Feature 2,Feature 4,Feature 1,Feature 5,Feature 4,Feature 6,Feature 5,Feature 2,Feature 1,Feature 3
R_3nVqdCdD3R9tYC11,Least Important,,Most Important,,,Least Important,Most Important,,Most Important,,,Least Important,,,Least Important,Most Important,Least Important,Most Important,,,17,Feature 1,Feature 3,Feature 4,Feature 6,Feature 4,Feature 2,Feature 6,Feature 1,Feature 5,Feature 1,Feature 3,Feature 2,Feature 6,Feature 4,Feature 1,Feature 5,Feature 3,Feature 5,Feature 2,Feature 4
R_3PXFxqeNlqwXJNi1,,,Least Important,Most Important,Most Important,,Least Important,,Least Important,Most Important,,,Most Important,,,Least Important,Least Important,,Most Important,,18,Feature 6,Feature 1,Feature 2,Feature 4,Feature 2,Feature 5,Feature 3,Feature 6,Feature 5,Feature 4,Feature 1,Feature 2,Feature 3,Feature 2,Feature 4,Feature 1,Feature 1,Feature 3,Feature 6,Feature 5
R_1ezxWWSzmcra2OT1,,Least Important,Most Important,,Most Important,Least Important,,,,Most Important,Least Important,,Most Important,,Least Important,,,Most Important,,Least Important,19,Feature 3,Feature 2,Feature 5,Feature 4,Feature 2,Feature 3,Feature 6,Feature 5,Feature 5,Feature 1,Feature 2,Feature 6,Feature 4,Feature 5,Feature 1,Feature 2,Feature 1,Feature 6,Feature 4,Feature 3
R_By6uOMJ3w8zNuEN1,Least Important,Most Important,,,,Most Important,Least Important,,,Least Important,Most Important,,,,Least Important,Most Important,Least Important,,,Most Important,20,Feature 4,Feature 6,Feature 1,Feature 5,Feature 3,Feature 5,Feature 6,Feature 2,Feature 6,Feature 3,Feature 5,Feature 1,Feature 5,Feature 2,Feature 3,Feature 4,Feature 2,Feature 1,Feature 4,Feature 3
R_2DZZbMXtgBZilyw1,,Most Important,Least Important,,Least Important,,,Most Important,Least Important,Most Important,,,,,Most Important,Least Important,Most Important,,Least Important,,21,Feature 6,Feature 1,Feature 4,Feature 2,Feature 5,Feature 4,Feature 3,Feature 6,Feature 1,Feature 5,Feature 6,Feature 3,Feature 3,Feature 2,Feature 5,Feature 4,Feature 4,Feature 3,Feature 2,Feature 1
R_3sbMOwV3kPJfo8x1,Most Important,Least Important,,,,Most Important,,Least Important,,Least Important,Most Important,,Least Important,,,Most Important,Most Important,,Least Important,,22,Feature 2,Feature 6,Feature 1,Feature 4,Feature 5,Feature 3,Feature 2,Feature 1,Feature 3,Feature 4,Feature 6,Feature 5,Feature 1,Feature 5,Feature 4,Feature 2,Feature 4,Feature 2,Feature 3,Feature 6
